"","Pattern1","Pattern2","Pattern3","Pattern4","Pattern5"
"VCAM1",9.27339569898322e-05,0.000476445216918364,0.0003461214073468,0.0026012088637799,0.00044811109546572
"RP4-549L20.3",0.0185480657964945,0.0198712386190891,0.0391682237386703,0.00150731019675732,0.000224900053581223
"S1PR1",0.798889100551605,0.325343072414398,5.0532918294266e-07,0.304987400770187,0.181844651699066
"NTNG1",6.31971270195208e-05,4.18998024542816e-05,9.72075431491248e-05,9.41301623242907e-05,0.0211819708347321
"FAM102B",2.79859307283914e-07,0.000217861408600584,0.323477327823639,0.22680127620697,6.59034640193568e-06
"GPSM2",0.00356698781251907,0.00895534828305244,0.0279417242854834,0.0211697164922953,0.00326723279431462
"PSRC1",0.000911387498490512,9.6809264505282e-05,0.0636035799980164,2.83587924059248e-05,0.000254730781307444
"SORT1",1.1617528627994e-07,3.29136237269267e-05,0.352350562810898,0,0.000726330908946693
"AMIGO1",0.0296821482479572,0.00406279880553484,0.000242131834966131,1.84013788384618e-05,0.000351039547240362
"AMPD2",0.0701745897531509,0.0825685858726501,0.580493688583374,0.146651089191437,0.00152770965360105
"GSTM5",0.000112876608909573,6.05336063017603e-05,0.000217270382563584,6.7439723352436e-05,0.000928878085687757
"CSF1",2.10431880987016e-05,0.0372511558234692,0.0563990399241447,0.0313921421766281,0.000114936388854403
"RP5-1074L1.4",0.000271936791250482,0.00034213752951473,0.00379745336249471,0.000175886219949462,0.0021748379804194
"RP11-284N8.3",0.12738424539566,0.0750773325562477,0.0311420615762472,0.0522033534944057,0.0199971366673708
"RP11-96K19.5",0.000116488983621821,0.00567912263795733,0.00210329983383417,0.000176376881427132,0.00718260742723942
"CHI3L2",0.127211093902588,0.105875045061111,0.00187117699533701,2.91686728814966e-06,0.0250039976090193
"PIFO",0.0056025511585176,0.000167654026881792,0.000111668559839018,0.00164549541659653,0.000245043949689716
"C1orf162",0.276133298873901,0.221952348947525,1.09003710746765,0,0.184975445270538
"FAM212B",5.92980359215289e-05,2.89797735604225e-05,0.153144165873528,0.0175608992576599,0.0305220279842615
"FAM212B-AS1",8.99736041901633e-05,5.20700559718534e-05,0.000412503577535972,0.0001233498333022,0.000300082610920072
"RP11-88H9.2",5.56121922272723e-05,5.65441660000943e-05,0.000169404127518646,4.61413728771731e-05,0.000245519768213853
"RHOC",4.1946281271521e-05,0.290631175041199,0.349526673555374,0.0212433636188507,0.0677554085850716
"PPM1J",6.04389824729878e-05,7.54200518713333e-05,0.0191617589443922,4.69422557216603e-05,0.0447007678449154
"RP11-31F15.2",0.000189921993296593,7.78877147240564e-05,0.000456608890090138,7.61269693612121e-05,0.000235333049204201
"HIPK1-AS1",0.0224689450114965,0.00276407226920128,0.0726509690284729,3.95267670683097e-05,0.0038403666112572
"OLFML3",3.93335430999286e-05,0.000100352473964449,0.00101587292738259,9.13058174774051e-05,0.000532210280653089
"DENND2C",0.0019817752763629,6.94663103786297e-05,0.000107334366475698,0.020074337720871,0.00751815875992179
"ATP1A1",0.623695731163025,0.296955406665802,0.504738569259644,0.49975323677063,0.236450001597404
"CD58",7.85159102179023e-08,0.368641316890717,0.451376914978027,0.373006582260132,0.172675892710686
"CD2",1.04580199718475,0.865110218524933,8.91203796982154e-07,0.159603342413902,1.88894728125888e-06
"PTGFRN",0.000126286642625928,8.93463075044565e-05,0.0134906731545925,7.2622686275281e-05,0.000602605985477567
"TRIM45",5.63097237318289e-05,6.38192359474488e-05,0.0212569888681173,0.000133162437123246,0.000302925007417798
"FAM46C",3.12493612000253e-05,0.455462902784348,7.2670320605539e-07,0.567842483520508,0.234780594706535
"ZNF697",1.7934168283773e-07,0,0.163090929389,0.0223190188407898,7.68053450883599e-06
"PHGDH",0.0331108309328556,6.17575569776818e-05,0.0129829710349441,9.51302063185722e-05,0.0202461685985327
"NOTCH2",0.0594999715685844,0.0984262749552727,0.748047113418579,0.202015966176987,0.124312929809093
"SEC22B",0.164693623781204,0.130721181631088,0.415018111467361,0.155107021331787,0.0433637052774429
"FCGR1B",7.502385983571e-07,4.88548212160822e-05,0.321506410837173,2.35117408919905e-06,3.19422288157512e-05
"CH17-437K3.1",0.000370199501048774,6.73456816002727e-05,0.000772329745814204,0.000307632581098005,0.00026661780430004
"RP11-403I13.5",0.000358767836587504,0.00037853087997064,0.000830403587315232,0.000228053904720582,0.000322725478326902
"HIST2H3PS2",8.26699688332155e-05,6.24494132352993e-05,0.000262859073700383,9.58994787652045e-05,0.000850369746331125
"RP11-14N7.2",0.00116124318446964,7.06747232470661e-05,0.021762216463685,0.0015556636499241,0.0133696123957634
"RP11-289H16.1",6.65236002532765e-05,5.25491814187262e-05,0.010826401412487,9.57433003350161e-05,0.000255357503192499
"CH17-373J23.1",0.062431912869215,0.173139318823814,0.680300533771515,0,0.0923976004123688
"NBPF20",0.0435006394982338,0.00237746769562364,0.152991905808449,0.0544877760112286,0.0438787043094635
"CD160",1.92703780044212e-07,0.251981914043427,0.000107960710010957,0.0233395826071501,7.07171857357025e-05
"TXNIP",0.682053744792938,1.92637944221497,0.877218723297119,0,0.405524283647537
"NBPF10",0.000140973017551005,5.89383125770837e-05,0.593308985233307,0.236131757497787,0.153079658746719
"CH17-353B19.1",4.2970019421773e-05,3.70767083950341e-05,0.0150219453498721,9.9654083896894e-05,0.000220216548768803
"NBPF14",0.0526966154575348,0.064757451415062,0.840508699417114,0.387020200490952,0.277803093194962
"PDE4DIP",0.110185101628304,0.000390639237593859,0.315366148948669,0.131083622574806,0.102464929223061
"NBPF19",0.100640349090099,0.0790368318557739,0.606875836849213,0.323798567056656,8.51610820973292e-06
"RP11-353N4.6",0.00405308417975903,0.00176772242411971,0.00109359924681485,0.00759596563875675,0.000932765135075897
"FCGR1A",3.44301696486582e-07,0,0.507708191871643,6.61777846744371e-07,2.12313102565531e-06
"HIST2H2BF",0.035870835185051,0.0338315926492214,0.0877372473478317,8.18273747427156e-06,0.0424236133694649
"HIST2H4A",6.7688204580918e-05,6.09197813901119e-05,0.000294014549581334,8.25817987788469e-05,0.000267281488049775
"RP11-196G18.24",0.000193169456906617,9.01146049727686e-05,0.000610792078077793,9.90683183772489e-05,0.000295032456051558
