scope,stratum,subject,timepoint_merged,day_merged_numeric,gene,n_cells,total_counts,gene_counts,cpm,log2_cpm
all_cells,all_cells,Subject2,D2,2.0,PTMA,4187,10749595.0,73072.0,6797.651446403329,12.731032892123668
all_cells,all_cells,Subject2,D2,2.0,SRGN,4187,10749595.0,48159.0,4480.075760993786,12.12962940282536
all_cells,all_cells,Subject2,D2,2.0,S100A11,4187,10749595.0,19574.0,1820.905810870084,10.83123266108904
all_cells,all_cells,Subject2,D2,2.0,MT-ND4L,4187,10749595.0,109403.0,10177.406683693664,13.313224120782321
all_cells,all_cells,Subject2,D2,2.0,SH3BGRL3,4187,10749595.0,22728.0,2114.312213622932,11.046654901105606
all_cells,all_cells,Subject2,D2,2.0,LMNA,4187,10749595.0,18615.0,1731.6931475092783,10.758800466705475
all_cells,all_cells,Subject2,D2,2.0,FTL,4187,10749595.0,54008.0,5024.189283410212,12.294962223857965
all_cells,all_cells,Subject2,D2,2.0,SAT1,4187,10749595.0,24088.0,2240.828607961509,11.130460270256037
all_cells,all_cells,Subject2,D2,2.0,NEAT1,4187,10749595.0,23894.0,2222.781416416153,11.11879927193648
all_cells,all_cells,Subject2,D2,2.0,S100A6,4187,10749595.0,23005.0,2140.0806262933625,11.064123408719684
all_cells,all_cells,Subject2,D2,2.0,TYROBP,4187,10749595.0,9287.0,863.9395251635062,9.756455455707098
all_cells,all_cells,Subject2,D2,2.0,CD74,4187,10749595.0,92850.0,8637.5347164242,13.076570905311854
all_cells,all_cells,Subject2,D2,2.0,LYZ,4187,10749595.0,21593.0,2008.7268404065458,10.972783710060583
all_cells,all_cells,Subject2,D2,2.0,TMSB10,4187,10749595.0,74586.0,6938.49396186554,12.760614747851081
all_cells,all_cells,Subject2,D2,2.0,ACTB,4187,10749595.0,62517.0,5815.753988871209,12.505998573434997
all_cells,all_cells,Subject2,D2,2.0,MT-ND4,4187,10749595.0,67192.0,6250.654094410069,12.610022240529277
all_cells,all_cells,Subject2,D2,2.0,MT-ND2,4187,10749595.0,41606.0,3870.471399155038,11.918666268814453
all_cells,all_cells,Subject2,D2,2.0,CST3,4187,10749595.0,9188.0,854.7298758697422,9.741011649666214
all_cells,all_cells,Subject2,D2,2.0,LY6E,4187,10749595.0,2830.0,263.26573233689265,8.045845550838889
all_cells,all_cells,Subject2,D2,2.0,ISG15,4187,10749595.0,2055.0,191.16999291601218,7.586239268597075
all_cells,all_cells,Subject2,D2,2.0,IFITM1,4187,10749595.0,14909.0,1386.9359729366547,10.438725300951935
all_cells,all_cells,Subject2,D2,2.0,IFITM2,4187,10749595.0,9374.0,872.0328533307534,9.769892135090531
all_cells,all_cells,Subject2,D2,2.0,IFI6,4187,10749595.0,983.0,91.4453056138394,6.530528156111349
all_cells,all_cells,Subject2,D2,2.0,IFITM3,4187,10749595.0,8491.0,789.8902237712211,9.627333651082711
all_cells,all_cells,Subject2,D2,2.0,MX1,4187,10749595.0,3534.0,328.7565717592151,8.36525760118469
all_cells,all_cells,Subject2,D2,2.0,PSME2,4187,10749595.0,2832.0,263.45178585797885,8.046860907788691
