pattern,scope,stratum,timepoint_merged,day_merged_numeric,n_genes_tested,mean_gene_log2fc,median_gene_log2fc,n_genes_up,n_genes_down,n_genes_near_zero,frac_genes_up,frac_genes_down,pattern_direction_consensus,pattern_class,peak_timepoint,eta_timepoint,eta_broad_cell_type,spearman_ifn_score_rho
Pattern3,cell_type,B_cell,D4,4.0,25,-0.2000431180450213,-0.16338807479458417,0,9,16,0.0,0.36,mostly_near_zero,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern3,cell_type,B_cell,D6,6.0,25,-0.1577530569562939,-0.10456674255040532,0,7,18,0.0,0.28,mostly_near_zero,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern3,cell_type,B_cell,D8,8.0,25,0.09349358260469211,0.03562304977033529,4,0,21,0.16,0.0,mostly_near_zero,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern3,cell_type,B_cell,D10,10.0,25,1.8217276132864353,1.4843085216394585,20,0,5,0.8,0.0,mostly_up,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern3,cell_type,B_cell,D14/15,14.5,25,1.5949535640363666,1.30090711615726,22,0,3,0.88,0.0,mostly_up,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern3,cell_type,B_cell,D28,28.0,25,0.10405504895337087,0.07494243041171522,7,3,15,0.28,0.12,mostly_near_zero,activity-like,D10,0.454036194393983,0.164629605915765,0.75600666168997
Pattern4,cell_type,B_cell,D2,2.0,25,-0.07530078341254957,-0.09886223491270663,0,2,23,0.0,0.08,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,cell_type,B_cell,D4,4.0,25,-0.11269757135556142,-0.09645138955497501,0,2,23,0.0,0.08,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,cell_type,B_cell,D6,6.0,25,-0.15071126311922403,-0.06606205698152283,0,7,18,0.0,0.28,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,cell_type,B_cell,D8,8.0,25,-0.09964619377193529,-0.054642775447371505,0,5,20,0.0,0.2,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,cell_type,B_cell,D10,10.0,25,-0.17508975841480287,-0.18261269569027525,2,9,14,0.08,0.36,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,cell_type,B_cell,D14/15,14.5,25,0.2660458230141877,0.36449177772603925,14,3,8,0.56,0.12,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern4,cell_type,B_cell,D28,28.0,25,-0.06365179154150004,-0.0010801739678208595,1,5,19,0.04,0.2,mostly_near_zero,identity-like,D14/15,0.00981255187316661,0.0469644200389067,-0.0877535662757487
Pattern5,cell_type,B_cell,D2,2.0,25,-0.03639963544049221,-0.04216622352469853,0,1,24,0.0,0.04,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern5,cell_type,B_cell,D4,4.0,25,-0.10426834649709084,-0.09289873542504108,0,2,23,0.0,0.08,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern5,cell_type,B_cell,D6,6.0,25,-0.020825334667208786,-0.017396490278546395,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern5,cell_type,B_cell,D8,8.0,25,-0.048741693668672786,-0.045349887885124694,0,1,24,0.0,0.04,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern5,cell_type,B_cell,D10,10.0,25,-0.018448833682067813,-0.05177530345478143,2,5,18,0.08,0.2,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern5,cell_type,B_cell,D14/15,14.5,25,-0.0039721378058179355,-0.09221208097433269,5,4,16,0.2,0.16,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern5,cell_type,B_cell,D28,28.0,25,-0.06529918664635591,-0.06948254608823785,0,1,24,0.0,0.04,mostly_near_zero,identity-like,D14/15,0.020907301802552,0.159814675634815,-0.0117378046950792
Pattern6,cell_type,B_cell,D2,2.0,25,-0.04342287170305668,-0.014111892943091084,0,1,24,0.0,0.04,mostly_near_zero,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern6,cell_type,B_cell,D4,4.0,25,-0.04057171532387119,-0.04406898350603091,1,0,24,0.04,0.0,mostly_near_zero,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern6,cell_type,B_cell,D6,6.0,25,-0.026069286363893114,-0.022022727327977165,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern6,cell_type,B_cell,D8,8.0,25,-0.016909714457663334,-0.012580304168990253,1,0,24,0.04,0.0,mostly_near_zero,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern6,cell_type,B_cell,D10,10.0,25,-0.1426033487187861,-0.2053322615289724,3,10,12,0.12,0.4,mostly_near_zero,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern6,cell_type,B_cell,D14/15,14.5,25,-0.10974787463455582,-0.21389568868665046,8,12,5,0.32,0.48,mixed,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern6,cell_type,B_cell,D28,28.0,25,-0.08014496748141936,-0.06733897485838962,0,4,21,0.0,0.16,mostly_near_zero,identity-like,D28,0.00194351041424414,0.16558707210451,0.0786828398064539
Pattern7,cell_type,B_cell,D2,2.0,25,-0.01898676377507053,-0.0025751862503848124,0,1,24,0.0,0.04,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,cell_type,B_cell,D4,4.0,25,-0.08114394231351939,-0.045194039528572816,0,2,23,0.0,0.08,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,cell_type,B_cell,D6,6.0,25,-0.02498109466668739,-0.022022727327977165,0,1,24,0.0,0.04,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,cell_type,B_cell,D8,8.0,25,-0.04215807476550322,-0.054642775447371505,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,cell_type,B_cell,D10,10.0,25,-0.17921885639098076,-0.21111364461701734,2,11,12,0.08,0.44,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,cell_type,B_cell,D14/15,14.5,25,-0.23388052660060268,-0.3976330164296318,4,14,7,0.16,0.56,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern7,cell_type,B_cell,D28,28.0,25,-0.1183799966033731,-0.15007416480553046,0,8,17,0.0,0.32,mostly_near_zero,identity-like,D14/15,0.00511289334251585,0.549712893250446,-0.085419574878381
Pattern8,cell_type,B_cell,D2,2.0,25,-0.04495460333600256,-0.006796060383468472,0,2,23,0.0,0.08,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,cell_type,B_cell,D4,4.0,25,-0.06822708933843598,-0.045194039528572816,1,1,23,0.04,0.04,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,cell_type,B_cell,D6,6.0,25,-0.05831918036568104,-0.03483784674533356,0,2,23,0.0,0.08,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
Pattern8,cell_type,B_cell,D8,8.0,25,-0.03951731901867318,-0.04696971325245632,0,0,25,0.0,0.0,mostly_near_zero,identity-like,D14/15,0.00321652467152328,0.642289174585567,-0.14916520053419
