pattern,broad_cell_type,n_subjects,n_subject_groups,total_cells,mean_subject_score,sd_subject_score,median_subject_score,min_subject_score,max_subject_score,se_subject_score,n_cells_cell_level,mean_cell_score,median_cell_score
Pattern7,NK_cell,3,3,888,0.03497481286625632,0.01620684339131709,0.028182709438584592,0.023269133852075075,0.05347259530810928,0.00935702539469103,888,0.02697672099932213,0.00012059635628245
Pattern7,Neutrophil,3,3,67,0.04306348548116293,0.0036347205317421596,0.04175868554824881,0.04026127748213845,0.047170493413101526,0.0020985068774303957,67,0.04215550508644212,0.0407195203006268
Pattern7,Plasmablast,3,3,33,0.0048848850822772434,0.005275402792248047,0.004077730432996387,5.957623015242199e-05,0.01051734858368292,0.0030457552221881136,33,0.004542989747538708,4.99599736940581e-05
Pattern7,T_cell,3,3,2669,0.4138566833409641,0.13524109237764945,0.416607259800012,0.2772612826489921,0.5477015075738882,0.07808148108973496,2669,0.44744795727038106,0.44439110159874
Pattern8,B_cell,3,3,420,0.010956201400189167,0.014685714824466161,0.003457633346320143,0.0015335900524379841,0.027877380801809373,0.008478801407147617,420,0.008826431746025667,1.9620104467321653e-05
Pattern8,Monocyte,3,3,723,0.3621401607377663,0.3187263617938842,0.26012029439615186,0.10691414915992822,0.7193860386572187,0.18401675077952911,723,0.4284298208924209,0.340458333492279
Pattern8,NK_cell,3,3,888,0.005038619973954733,0.0017866910218227083,0.004599109083241116,0.0035126986336006336,0.007004052205022449,0.0010315465424080282,888,0.004948360098269474,2.7906547074962853e-05
Pattern8,Neutrophil,3,3,67,0.014584025622581098,0.004589631679128874,0.013196977594548902,0.010847900409399591,0.0197071988637948,0.0026498250854262895,67,0.014948992801814087,0.0156778134405613
Pattern8,Plasmablast,3,3,33,0.08339665628810271,0.06271926314348124,0.07573949551442638,0.024857521581907356,0.14959295176797435,0.03621098345926387,33,0.07121129925265751,0.0334468334913254
Pattern8,T_cell,3,3,2669,0.0028225372650530008,0.001606030921912439,0.0022207718151935553,0.0016042938992135887,0.004642546080751858,0.0009272423850930096,2669,0.002413288006178259,1.40439988172147e-05
Pattern9,B_cell,3,3,420,0.026305475053952632,0.03646736513699227,0.006019535841453734,0.004491767380878771,0.0684051219395254,0.021054443078478865,420,0.02092903875105935,1.20679619612929e-05
Pattern9,Monocyte,3,3,723,0.017849461590012248,0.014692876625334883,0.013403198596130664,0.00589325309634552,0.034251933077560553,0.008482936274807056,723,0.019806774561145667,9.79772012215108e-05
Pattern9,NK_cell,3,3,888,0.5271271560994432,0.07262086791733002,0.503296236802892,0.4694160696523017,0.6086691618431359,0.04192767764085475,888,0.5729072326123044,0.5848661959171295
Pattern9,Neutrophil,3,3,67,0.007112242817045583,0.0029016219373235626,0.006264696739194975,0.004728764691290857,0.010343267020650916,0.0016752522066002824,67,0.007351760823748489,0.0006422825390473
Pattern9,Plasmablast,3,3,33,0.052600988486566726,0.024792309604146096,0.04524548923927793,0.032318748781641184,0.08023872743878106,0.014313846623786293,33,0.051655344394866846,0.0270092394202948
Pattern9,T_cell,3,3,2669,0.04695517386029441,0.00984858330239842,0.043143237253995326,0.03958232502188713,0.05813995930500078,0.0056860822207761815,2669,0.048019855039708785,0.0007000937475822
Pattern10,B_cell,3,3,420,0.6598017384740619,0.06843266915780623,0.6945486558335168,0.5809667551746736,0.7038898044139952,0.03950961995962403,420,0.6697152565987338,0.672106057405472
Pattern10,Monocyte,3,3,723,0.06268213043799371,0.006835688026701239,0.05890771544201093,0.058565841090232475,0.07057283478173774,0.003946586322312262,723,0.06117891527624165,0.0390403531491756
