pattern,timepoint_merged,day_merged_numeric,n_subjects,n_subject_groups,total_cells,mean_subject_score,sd_subject_score,median_subject_score,min_subject_score,max_subject_score,se_subject_score,n_cells_cell_level,mean_cell_score,median_cell_score
Pattern8,D8,8.0,3,3,600,0.07081975503461208,0.08513764791008066,0.03985684249103903,0.005496554096710815,0.1671058685160864,0.04915424393905665,600,0.07081975503461208,6.825043601565994e-05
Pattern8,D10,10.0,3,3,600,0.0801583864257761,0.08170642835432804,0.054586615591842226,0.014296297700152963,0.17159224598533313,0.047173228404894164,600,0.08015838642577612,7.737127361906456e-06
Pattern8,D14/15,14.5,3,3,600,0.08426747872715575,0.09360038482626941,0.051344207997172334,0.011577133054394357,0.18988109512990056,0.05404020737569921,600,0.08426747872715576,1.2070729098923049e-05
Pattern8,D28,28.0,3,3,600,0.06484740727460961,0.05142958604400916,0.04425755042005206,0.026902873985470328,0.12338179741830643,0.029692885346819707,600,0.06484740727460961,5.5196111134137e-05
Pattern9,D0,0.0,3,3,600,0.10268932473952645,0.0643771432156926,0.07819937725435841,0.05415109008748819,0.17571750687673274,0.037168160965239214,600,0.10268932473952644,0.0008248900703620001
Pattern9,D2,2.0,3,3,600,0.13523233885355174,0.09743089105330915,0.10720019784187451,0.05489043230303394,0.24360638641574675,0.05625175117701314,600,0.13523233885355174,0.00418468797579405
Pattern9,D4,4.0,3,3,600,0.12599227667416318,0.13508835545631354,0.05780650797505383,0.03858664461271397,0.28158367743472174,0.07799329838708648,600,0.12599227667416318,0.00180303124943745
Pattern9,D6,6.0,3,3,600,0.13598535225705496,0.10854259949321812,0.08936023021190628,0.058545397676040514,0.26005042888321805,0.06266709903595122,600,0.13598535225705494,0.009426338598132099
Pattern9,D8,8.0,3,3,600,0.13679305591333404,0.1427111115375143,0.06294958094920443,0.04613416296824768,0.30129542382255,0.0823942986625346,600,0.13679305591333402,0.0053422469645737995
Pattern9,D10,10.0,3,3,600,0.15119859648186276,0.1447936802443521,0.0887911043131634,0.0480736839351743,0.31673100119725056,0.08359667026603329,600,0.15119859648186276,0.0037338017718866
Pattern9,D14/15,14.5,3,3,600,0.18717917027123376,0.09157018602089333,0.14797444706423776,0.12173835915288343,0.2918247045965801,0.052868071548906874,600,0.18717917027123376,0.0056796036660671
Pattern9,D28,28.0,3,3,600,0.12862039194941313,0.12430481001007208,0.05904752957523416,0.05468056868323004,0.27213307758977523,0.07176741552088041,600,0.12862039194941313,0.00230184127576645
Pattern10,D0,0.0,3,3,600,0.1093055884102873,0.016666473785219845,0.11420283684158021,0.09073914589360924,0.12297478249567247,0.00962239312633852,600,0.1093055884102873,0.0040640879888087
Pattern10,D2,2.0,3,3,600,0.06855776979020083,0.013171465269989706,0.07393655880305375,0.053548108690678484,0.07818864187687026,0.007604549019250364,600,0.06855776979020083,0.0015376404044217498
Pattern10,D4,4.0,3,3,600,0.09430311909883593,0.019069688399275364,0.09481536580575435,0.07498246800066466,0.11311152349008877,0.011009889730683916,600,0.09430311909883593,0.0031046440126373497
Pattern10,D6,6.0,3,3,600,0.0915269988215982,0.02531353628407862,0.08838022079121798,0.06793397251346503,0.11826680316011164,0.01461477698775415,600,0.09152699882159822,0.0033956512343138
Pattern10,D8,8.0,3,3,600,0.08599776605471783,0.01979941425148445,0.0925624886054713,0.06374977486426558,0.10168103469441661,0.01143119714789146,600,0.08599776605471783,0.0051293631549924
Pattern10,D10,10.0,3,3,600,0.07345418043636696,0.028753167726288758,0.08995402032360232,0.04025308582966395,0.0901554351558346,0.016600649126827276,600,0.07345418043636696,0.00077685224823645
Pattern10,D14/15,14.5,3,3,600,0.042167826592420604,0.0056739630738321,0.045432631408260545,0.035616110807710995,0.045454737561290266,0.0032758641080489594,600,0.042167826592420604,0.00012675364268939997
Pattern10,D28,28.0,3,3,600,0.08202195517900375,0.0408877359742213,0.06991497107334958,0.04855491263275552,0.12759598183090615,0.023606545371271017,600,0.08202195517900375,0.00081929285079235
