pattern,broad_cell_type,timepoint_merged,day_merged_numeric,n_subjects,n_subject_groups,total_cells,mean_subject_score,sd_subject_score,median_subject_score,min_subject_score,max_subject_score,se_subject_score,n_cells_cell_level,mean_cell_score,median_cell_score
Pattern7,Plasmablast,D6,6.0,3,3,6,0.0032575099706314554,0.005611078535078306,3.43812016581069e-05,1.55105976773484e-06,0.009736597650468524,0.003239557702671591,6,0.0048800177357482535,3.43812016581069e-05
Pattern7,T_cell,D6,6.0,3,3,347,0.39134284670937275,0.14454241727261274,0.3494832185330327,0.2723500427627375,0.5521952788323481,0.08345160352166218,347,0.41784924282316205,0.387899994850159
Pattern7,B_cell,D8,8.0,3,3,60,0.05441202775487606,0.0647200048550338,0.024245893621352727,0.010282070139442104,0.12870811950383335,0.03736611222500766,60,0.059057753907784644,0.00014064795686860002
Pattern7,Monocyte,D8,8.0,3,3,88,0.03967915252964571,0.02837576034141918,0.04687157129670335,0.008399272703722233,0.06376661358851154,0.01638275287157867,88,0.03330952034658969,0.0007951324805617001
Pattern7,NK_cell,D8,8.0,3,3,105,0.06164768735938877,0.03233591651344435,0.07297180699185907,0.025172728739623815,0.08679852634668343,0.01866915010353036,105,0.03194098829767874,9.62976846494712e-05
Pattern7,Neutrophil,D8,8.0,2,2,8,0.049642089065855544,0.005660305876630344,0.049642089065855544,0.045639648396900157,0.053644529734810924,0.004002440668955381,8,0.049642089065855544,0.051172416657209396
Pattern7,Plasmablast,D8,8.0,2,2,4,0.012314291321700904,0.017260390731508132,0.012314291321700904,0.00010935198952206845,0.024519230653879738,0.012204939332178833,4,0.012314291321700904,0.00010935198952206845
Pattern7,T_cell,D8,8.0,3,3,335,0.40605299387827665,0.1189422021965113,0.35618584366889827,0.3201614907702605,0.5418116471956711,0.0686713124561627,335,0.43303196302062297,0.420575529336929
Pattern7,B_cell,D10,10.0,3,3,46,0.0368554185754414,0.03195934061892803,0.05350850197434434,8.61105011532951e-06,0.05704914270186452,0.01845173390946104,46,0.04799269389342063,0.002671970432857
Pattern7,Monocyte,D10,10.0,3,3,117,0.009493114168230714,0.007975791255963658,0.008651429308064467,0.001971543797040441,0.017856369399587235,0.0046048252286308815,117,0.010821557956388807,1.86948072951054e-05
Pattern7,NK_cell,D10,10.0,3,3,114,0.07922020837591313,0.09072815572614543,0.034994614780881506,0.01908538578634261,0.18358062456051527,0.05238192513156835,114,0.026484409946012553,3.7155075915507054e-05
Pattern7,Neutrophil,D10,10.0,3,3,16,0.03672846889411372,0.007299020518094046,0.035056184977293,0.0304107097908854,0.044718511914162755,0.004214091460942199,16,0.042326141215198725,0.0398722030222416
Pattern7,Plasmablast,D10,10.0,3,3,6,0.0009909662240753566,0.0015247800562281683,0.0002240303292637,1.91414619621355e-06,0.002746954196766156,0.0008803321759183057,6,0.0018689602104207564,0.000134647776576423
Pattern7,T_cell,D10,10.0,3,3,301,0.4042220846504738,0.10167057052425439,0.45786177458657,0.28696445632614825,0.46784002303870326,0.058699531260841105,301,0.43024807550670063,0.437179565429688
Pattern7,B_cell,D14/15,14.5,3,3,23,0.053267652170019476,0.04794150758505395,0.04421201570384407,0.01049975457522123,0.10509118623099313,0.027679042309587384,23,0.05659287646234213,0.0003271819732617
Pattern7,Monocyte,D14/15,14.5,3,3,103,0.01880262379991011,0.006176830185205347,0.016555388005289662,0.014064016897760975,0.0257884664966797,0.003566194570166913,103,0.016080194196779855,1.09786369648646e-05
Pattern7,NK_cell,D14/15,14.5,3,3,144,0.016884760224701954,0.01263933020811836,0.0123335167018915,0.00715133102831246,0.031169432943901895,0.007297320698033704,144,0.014700509552776539,1.538696142233675e-05
Pattern7,Neutrophil,D14/15,14.5,2,2,2,0.04111297801136975,0.0005564332307529434,0.04111297801136975,0.0407195203006268,0.0415064357221127,0.00039345771074294524,2,0.04111297801136975,0.04111297801136975
Pattern7,Plasmablast,D14/15,14.5,3,3,5,0.0026764036064782313,0.0046087584738076625,2.50832163146697e-05,5.99951135882293e-06,0.007998128091761201,0.002660867945482823,5,0.004805093400591419,0.0007464718655683
Pattern7,T_cell,D14/15,14.5,3,3,323,0.47470956414996945,0.16789416269572663,0.48906076434643964,0.30010044841944006,0.6349674796840287,0.0969337400277446,323,0.5232067770139955,0.57574450969696
Pattern7,B_cell,D28,28.0,3,3,56,0.03775333818009358,0.03120763558020868,0.0429271906673705,0.004282112424615288,0.06605071144829497,0.018017736803005224,56,0.03560201986637473,3.39325597451534e-05
Pattern7,Monocyte,D28,28.0,3,3,83,0.018290209950409444,0.01780460322587268,0.01567808747809935,0.0019359623508449027,0.037256580022284075,0.010279492465272072,83,0.02075730454531798,4.55863919341937e-05
Pattern7,NK_cell,D28,28.0,3,3,106,0.03279158386644695,0.01724108143143173,0.026661731233915496,0.019453048080069663,0.05225997228535568,0.009954143005557367,106,0.02894758731158219,0.00021279560314715
Pattern7,Neutrophil,D28,28.0,3,3,11,0.03906896833796052,0.022305719240079895,0.027430866534511236,0.024989249161444578,0.06478678931792577,0.012878213007728343,11,0.0365090193967758,0.035644419491291
Pattern7,Plasmablast,D28,28.0,1,1,1,7.98025848780526e-06,,7.98025848780526e-06,7.98025848780526e-06,7.98025848780526e-06,,1,7.98025848780526e-06,7.98025848780526e-06
Pattern7,T_cell,D28,28.0,3,3,343,0.36037413258682977,0.1519410058707283,0.3028668939723568,0.24558069551459102,0.5326748082735415,0.0877231806404075,343,0.39016211806758594,0.39724126458168
Pattern8,B_cell,D0,0.0,3,3,73,0.012571055711579711,0.017615724313217195,0.004329477098169539,0.0005868448770706903,0.032796845159498905,0.010170443174206184,73,0.011236996601737286,2.47388270508964e-05
Pattern8,Monocyte,D0,0.0,3,3,110,0.33913035297654065,0.3619748893622715,0.26294916123151774,0.0213092462498545,0.7331326514482498,0.20898629981319247,110,0.3877937193592846,0.3105578571558
Pattern8,NK_cell,D0,0.0,3,3,88,0.003811738575807027,0.003613674922719975,0.00422546645274067,9.006400046018825e-06,0.007200742874634392,0.0020863561893961777,88,0.0044563324110681885,3.12427346216282e-05
Pattern8,Neutrophil,D0,0.0,2,2,3,0.0081000443315133,0.00764726660406644,0.0081000443315133,0.0026926102582365,0.0135074784047901,0.0054074340732768005,3,0.0099025223559389,0.0097182607278227
Pattern8,Plasmablast,D0,0.0,2,2,2,0.03363672921113902,0.04744597839048308,0.03363672921113902,8.7356151198037e-05,0.06718610227108,0.03354937305994098,2,0.03363672921113902,0.03363672921113902
Pattern8,T_cell,D0,0.0,3,3,324,0.002956479142826478,0.000870181832723745,0.0028060684346181914,0.002171307320254795,0.0038920616736064484,0.0005023997153669761,324,0.0028013281112626667,2.07471102839918e-05
Pattern8,B_cell,D2,2.0,3,3,38,0.010580855502904432,0.013467024979201006,0.005989080194452352,1.0218318311669508e-05,0.025743267995949275,0.007775190496925116,38,0.00778777951734354,3.05843618662038e-05
Pattern8,Monocyte,D2,2.0,3,3,86,0.3552116914096381,0.334704884405693,0.29817085961500805,0.05269265757903798,0.7147715570348683,0.19324195511070943,86,0.4180676989911919,0.346833035349846
Pattern8,NK_cell,D2,2.0,3,3,118,0.003631544839440473,0.0029278210256963944,0.0034323168952023453,0.0008084259930853823,0.006653891630033691,0.0016903782573248595,118,0.004056299164343041,9.57465126703028e-05
Pattern8,Neutrophil,D2,2.0,2,2,5,0.015294027534158258,0.011278026433297216,0.015294027534158258,0.007319258564772666,0.02326879650354385,0.007974768969385593,5,0.01369907374028114,0.0197526793926954
Pattern8,Plasmablast,D2,2.0,3,3,5,0.09493218610684079,0.09735803289627946,0.0902494862675667,0.0,0.19454707205295566,0.05620968650043939,5,0.13477814048528675,0.158475622534752
Pattern8,T_cell,D2,2.0,3,3,348,0.0026521831673503807,0.0018173373532887165,0.002816899569312232,0.0007580947337321581,0.004381555199006752,0.0010492402101296026,348,0.0022342734897156987,2.683997718122555e-05
Pattern8,B_cell,D4,4.0,3,3,63,0.0106591984483747,0.01667099413647726,0.0011923592023182752,0.0008768934420413588,0.029908342700764465,0.00962500295235382,63,0.008360122566893134,7.86261898610974e-06
Pattern8,Monocyte,D4,4.0,3,3,72,0.3500205483137586,0.3332391024223652,0.24539854377508163,0.08164638331152625,0.723016717854668,0.19239568548806182,72,0.43909976144475055,0.3882225304841995
Pattern8,NK_cell,D4,4.0,3,3,103,0.00619773241740177,0.0061921910340240836,0.006190101213697558,9.360511967315693e-06,0.01239373552654044,0.003575063160367392,103,0.006673715033033908,4.76709901704453e-05
Pattern8,Neutrophil,D4,4.0,3,3,10,0.01916928317126194,0.007047862174988257,0.015191059123026165,0.01501000830903646,0.0273067820817232,0.004069085123940852,10,0.01752367830777072,0.01765777356922625
Pattern8,Plasmablast,D4,4.0,3,3,4,0.07122511106232814,0.08895533911437425,0.0302624301984906,0.0101307416334748,0.173282161355019,0.05135838898353842,4,0.06098444084636875,0.0302624301984906
Pattern8,T_cell,D4,4.0,3,3,348,0.0036519966157118663,0.0038673932770185364,0.001710724985932501,0.0011397702306733784,0.00810549463052972,0.002232840549548801,348,0.0027453493045924604,2.2902355340193053e-05
