,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5
KIF17,5.234481432125904e-05,5.373507519834675e-05,0.0007800320163369179,0.00010687344911275432,0.0017699860036373138
RP3-329E20.2,6.256739288801327e-05,6.204472447279841e-05,0.00471928296610713,0.0001368880330119282,0.0003087708610109985
ALPL,4.808726589544676e-05,2.5784984245547093e-05,9.568450332153589e-05,0.00011279039608780295,0.03079010546207428
LDLRAD2,8.542212890461087e-05,0.00010884835501201451,0.001263695303350687,0.00011175474355695769,0.0021886902395635843
ZBTB40,0.07284294068813324,0.06715665012598038,0.07394343614578247,0.03470909968018532,0.07454351335763931
C1QA,4.651275958167389e-05,3.640929207904264e-05,0.06533785164356232,2.8698599635390565e-05,0.003256923286244273
C1QC,8.67243143147789e-05,4.446035745786503e-05,0.0099375294521451,5.1338927733013406e-05,0.0005074323271401227
C1QB,4.3368901970097795e-05,8.638407598482445e-05,0.01928882859647274,7.389609527308494e-05,0.0014306091470643878
TCEA3,0.19388891756534576,0.0,0.026801226660609245,0.0,0.002467693295329809
ID3,0.18158476054668427,0.0,0.00928608886897564,0.15937884151935577,0.6155839562416077
TCEB3-AS1,0.026798538863658905,0.031436000019311905,0.025310859084129333,4.2106987052648037e-07,0.014745966531336308
PITHD1,0.385932058095932,0.37144508957862854,0.15691131353378296,0.31965628266334534,0.19213809072971344
RCAN3,0.7397992610931396,0.0,0.05644197762012482,0.15527470409870148,0.10311076045036316
CLIC4,0.0,0.0,0.2854870855808258,0.03287724778056145,0.25913459062576294
RUNX3,0.019794873893260956,0.764598548412323,0.21463830769062042,0.5587667226791382,0.2120349407196045
RP4-799D16.1,0.00012914622493553907,0.00426988722756505,0.00032963333069346845,0.00016301345021929592,0.00030645326478406787
RP1-317E23.3,0.0008705966756679118,4.828880264540203e-05,0.0007700104033574462,0.0001630566403036937,0.0002980251156259328
STMN1,0.31261301040649414,0.17125913500785828,9.107327969104517e-06,0.18710647523403168,0.2845441699028015
ZNF593,0.13452917337417603,0.19393983483314514,0.20608405768871307,0.13628873229026794,0.23242194950580597
CNKSR1,0.0008163396851159632,0.00011477987573016435,0.0017974376678466797,0.00018896487017627805,0.0032815844751894474
SH3BGRL3,1.7118713855743408,4.3902482986450195,3.4257876873016357,0.835181474685669,1.18833327293396
UBXN11,0.2064695805311203,0.14117765426635742,0.7120677828788757,4.896787504549138e-05,0.025247758254408836
CD52,2.483544111251831,2.232001543045044,1.1431845426559448,0.0,2.015378475189209
ZNF683,4.420848927111365e-05,0.1609339714050293,0.0001484892563894391,3.231691152905114e-05,0.0024083841126412153
HMGN2,1.0378892421722412,1.0839775800704956,0.9408237934112549,0.00028047850355505943,0.8960798382759094
SYTL1,0.45558303594589233,0.8306336998939514,0.26784756779670715,0.062158484011888504,0.3004298806190491
GPR3,4.360005186754279e-05,3.748689414351247e-05,0.017286870628595352,0.0001695648825261742,0.0004948616842739284
FGR,2.9012932500904753e-08,0.6674041748046875,1.5001987218856812,0.0,0.03593658283352852
IFI6,0.33558470010757446,0.6396493315696716,0.7455857396125793,0.11490316689014435,0.07593696564435959
THEMIS2,0.05557554215192795,0.24865791201591492,0.8570883870124817,0.0,0.09602227061986923
RPA2,0.29025372862815857,0.49083688855171204,0.1884589046239853,0.0,0.24098877608776093
PTAFR,0.0,0.0,0.5682559609413147,7.272655011547613e-07,1.3470770682033617e-05
SNHG12,0.363875150680542,0.3055664002895355,0.08476507663726807,0.3719799220561981,0.23767797648906708
FABP3,5.508775939233601e-05,5.822937237098813e-05,0.001037244568578899,0.00023547081218566746,0.0017948078457266092
LINC01226,5.9910100389970466e-05,3.910674058715813e-05,0.001723463530652225,0.00016418324958067387,0.000960986188147217
ADGRB2,6.377564568538219e-05,0.002724689431488514,0.000284890498733148,0.00023191839864011854,0.0003537923621479422
SPOCD1,8.165376493707299e-05,4.6055763959884644e-05,0.0023111617192626,0.00010148864384973422,0.0004691389622166753
HDAC1,0.38151928782463074,0.4546838700771332,0.24624614417552948,0.0,0.34542256593704224
MARCKSL1,0.2972104549407959,0.12479957938194275,0.40107935667037964,0.574968695640564,0.47231200337409973
YARS,0.14006805419921875,0.4209696054458618,0.1878022402524948,0.21704821288585663,0.14964167773723602
S100PBP,0.11536632478237152,0.10508985817432404,0.10427086800336838,0.01538379117846489,0.09518209844827652
RNF19B,9.25896088688205e-08,4.903569788439199e-05,0.47557979822158813,0.12468366324901581,6.3422435232496355e-06
AZIN2,0.013156343251466751,0.0007439586333930492,0.001651291036978364,0.004396121948957443,0.04823502525687218
CLSPN,3.6584027839126065e-05,0.04389993101358414,0.003174826269969344,0.032330501824617386,0.00853610411286354
SH3D21,3.1904562547424575e-06,0.0,0.08770842850208282,0.01924031786620617,0.00013662365381605923
