"","Pattern1","Pattern2","Pattern3","Pattern4","Pattern5","Pattern6","Pattern7","Pattern8","Pattern9","Pattern10"
"OXCT2",4.41417578258552e-05,0.000521086389198899,0.000268577976385131,9.73218484432437e-05,0.0411060154438019,3.59123223461211e-05,2.55887771345442e-05,3.08550297631882e-05,5.10192730871495e-05,0.000248325115535408
"RP1-118J21.25",0.000242847207118757,0.000366789347026497,0.00019603906548582,8.23174123070203e-05,0.00113402493298054,0.00021241266222205,9.90339249256067e-05,0.000625983579084277,0.000282541586784646,0.000419360323576257
"MYCL",1.50668392961961e-06,6.78204230553092e-08,0,0,0.0755358263850212,2.29350735025946e-06,0,0.250958263874054,0,0.000214354280615225
"MFSD2A",7.310268870242e-07,0.37728026509285,0.00354091799817979,0.0651457086205482,0.102743864059448,1.37508959596744e-05,7.68742393120192e-06,0.00033855700166896,0,0.000433092878665775
"PPT1",0.165346056222916,0.45733317732811,0.0866759270429611,0,0.296007513999939,0.178045228123665,0.13909886777401,0.871427178382874,7.72995281295152e-06,0.0482784062623978
"SMAP2",0.0396621115505695,0.307641416788101,0.17408598959446,0.305837273597717,0.326109856367111,0.103635810315609,0.54392147064209,0.634432792663574,0.0789783373475075,0.423360973596573
"RP11-656D10.3",0.000583905261009932,0.00114803796168417,0.000128359330119565,0.000133362831547856,0.00262733385898173,0.000158914073836058,0.000117858966405038,0.000846742419525981,0.000129509091493674,0.000412869470892474
"CITED4",2.54709160429911e-08,0.000398075877455994,8.04888768470846e-05,4.80689341202378e-05,0.0679819211363792,0.0312460698187351,6.94500704412349e-05,0.102868422865868,6.7376909100858e-06,3.33257821694133e-06
"CTPS1",0.00410909252241254,1.65034592214397e-07,1.20110726129496e-05,0.162669852375984,0.299608141183853,0,0.105272740125656,5.27293423147057e-07,0.0764020159840584,0.000459153263363987
"HIVEP3",0.000533816346433014,0.216957956552505,0.0763915404677391,0.0553341098129749,0.258344709873199,4.55499357485678e-05,7.94134903117083e-05,0.0697174817323685,0.122889578342438,0.0312406159937382
"CCDC30",2.75865440926282e-05,6.09105372859631e-05,8.49471107358113e-05,9.33062547119334e-05,0.0864805951714516,0.0314392931759357,2.88659302896122e-05,0.0191579982638359,1.93528267118381e-05,0.000227928423555568
"PPIH",0.0719838440418243,0.000842716195620596,0.174900442361832,0.000137290262500755,0.400515466928482,0.214147433638573,0.14553365111351,0.124194227159023,0.161960884928703,0.125369548797607
"RP11-342M1.3",0.000358017976395786,0.00288286805152893,9.00265440577641e-05,0.00014769280096516,0.00105291022919118,0.0030555846169591,0.000864246103446931,0.00015611072012689,7.20513562555425e-05,0.000401970581151545
"TIE1",8.9895082055591e-05,0.000170678104041144,0.000170778192114085,8.63863533595577e-05,0.0157091654837132,0.000117264862637967,3.01891286653699e-05,7.58660535211675e-05,7.29387174942531e-05,0.000249040749622509
"MPL",0.000209930251003243,0.00119417742826045,8.69484138092957e-05,0.00011443963740021,0.00109806773252785,0.000127451319713145,4.82383838971145e-05,0.000465319491922855,8.009334851522e-05,0.000152846754644997
"CDC20",3.94491071347147e-05,7.75136470565485e-07,3.40972983394749e-05,3.25956243614201e-05,0.0796191841363907,2.2266488031164e-06,3.71015346445347e-07,6.25099801254692e-06,3.16918740281835e-05,1.27865041577024e-05
"KDM4A-AS1",0.000415797083405778,0.000373082002624869,0.000139261217555031,6.27514455118217e-05,0.000936447700951248,0.000270027201622725,0.00101538386661559,0.000130246466142125,1.14946296889684e-05,0.000236177496844903
"ATP6V0B",0.353647589683533,0.753399610519409,0.334463566541672,0.110392950475216,0.356225281953812,0.372700959444046,0.143946453928947,1.2590571641922,0.330461859703064,0.412625521421432
"SLC6A9",0.000227975193411112,0.00144113576970994,0.000343801337294281,3.13566088152584e-05,0.00573452515527606,0.000386685773264617,0.000133564855786972,0.000252253987127915,7.05202037352137e-05,0.00128410826437175
"C1orf228",1.22310268579895e-07,0.158201947808266,0,0,0.240632951259613,0.0547403320670128,0.38743057847023,0.258361488580704,0,0.0546994917094707
"KIF2C",3.43072206305806e-05,1.0674552868295e-05,2.66211136477068e-05,3.24362990795635e-05,0.0590528808534145,4.1289229557151e-05,2.59434509644052e-05,3.11809526465368e-06,4.23601159127429e-05,2.69232514256146e-05
"RP11-269F19.2",0.000234826628002338,0.00186202663462609,0.000216886401176453,9.93995854514651e-05,0.00485944095999002,0.000183561001904309,6.53772440273315e-05,0.000919263577088714,6.91377863404341e-06,0.000837393337860703
"RPS8",3.04437160491943,3.19932579994202,4.15734430134762e-05,2.00241661071777,3.39170682650547e-08,3.66760182380676,5.03087282180786,3.42064094543457,2.67906713485718,4.75651931762695
"BEST4",0.000547619943972677,0.00181582605000585,0.000406473031034693,0.000162297685164958,0.00272429385222495,0.000325375149259344,5.53286081412807e-05,0.00310055934824049,0.000235236060689203,0.000590381445363164
"PLK3",0.674401164054871,1.08523952960968,4.21257345806225e-06,0.44331818819046,0.0792921334505081,0,0.444573104381561,0.318514227867126,0,0.0781402289867401
"LINC01144",0.000178987756953575,0.000287671398837119,0.000279214000329375,0.000151347761857323,0.00378492497839034,0.000758884416427463,0.000139782598125748,0.000855529622640461,5.06939977640286e-05,0.000305660738376901
"CCDC163P",0.000114067115646321,0.000108729742350988,0.000888150243554264,7.34096029191278e-05,0.0756030231714249,0.0712405070662498,0.00148666684981436,0.000593636883422732,0.000104317950899713,0.000111079032649286
"PRDX1",0.806803524494171,0.406089246273041,0.534497141838074,0.126109316945076,0.265794426202774,0.422317802906036,0.417409598827362,0.675159156322479,0.0993028432130814,0.689027011394501
"RAD54L",4.7213144505065e-10,8.59078409121139e-06,6.5021580667235e-05,8.20286077214405e-05,0.0832232162356377,2.69542624664609e-06,1.13908377841199e-07,5.03418277730816e-06,9.81193588813767e-05,1.76896664925152e-05
"MOB3C",0.000120545941172168,0.00198535504750907,0.0838929414749146,0.0367796793580055,0.151315450668335,0.0386693812906742,0.0181998629122972,0.0546607486903667,0.000455583242001012,0.00121412274893373
"CYP4B1",0.000255782244494185,0.000133215435198508,0.000130036889459006,0.000122858022223227,0.000404419144615531,0.000346766028087586,8.10537749202922e-05,0.000231706420890987,4.51891792181414e-05,0.000137411669129506
