subject,broad_cell_type,timepoint_merged,day_merged_numeric,n_cells,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5,Pattern6,Pattern7,Pattern8,Pattern9,Pattern10,ifn_program_score,translation_program_score,mito_program_score,plasmablast_program_score
Subject2,Monocyte,D14/15,14.5,9,0.004813188776324744,0.5916806062062582,0.25380437738365585,0.17302987972895303,0.1350073849316686,0.016549622909021997,0.0257884664966797,0.1873001572158601,0.002856445363702188,0.04634661113798044,0.7805897627936472,0.7149455996057079,2.4826572587754985,-0.07670637029188652
Subject2,Monocyte,D2,2.0,14,0.03064853007572104,0.7145671589033943,0.03700672957737528,0.13266568484583083,0.21858566295278645,0.032369338808377626,0.07504312832614746,0.05269265757903798,0.020759162708470412,0.05248384384361775,-0.23381085435549426,1.2344003717683858,2.787321717398508,-0.11196480274200435
Subject2,Monocyte,D28,28.0,31,0.20219595699135456,0.47276232319493444,0.12144767315302737,0.04321625151784505,0.16968311952258514,0.002153160301696006,0.037256580022284075,0.26985619385396276,0.003617137126516845,0.07439039599905901,-0.032449722597675944,0.9667818547864735,2.61984390258789,-0.17356218305967192
Subject2,Monocyte,D4,4.0,14,0.023479472896618912,0.6983353516885213,0.029991750766332776,0.11666187768735532,0.21109754418349835,0.03086229797840392,0.035625881731480784,0.08164638331152625,0.014652437616066175,0.06523465830416944,-0.26568042085284277,1.2507733007561714,2.620882712772915,-0.058629954528240893
Subject2,Monocyte,D6,6.0,16,0.07577857293958336,0.6746734641492368,0.04344261534235682,0.11101168696768579,0.15603098659642,0.02265012100360761,0.023830685767478595,0.034771684841160735,0.024898508947842398,0.07686492387590246,-0.08461480391522225,1.3347740022807695,2.8103106117248533,-0.06928162579735113
Subject2,Monocyte,D8,8.0,21,0.03864861347275502,0.6443288581711906,0.06042141030703673,0.11208790325309521,0.09980810077202235,0.04200531161978508,0.04687157129670335,0.02810197171943618,0.014056329750402354,0.08036595170223053,-0.08880128482977552,1.2105952846528947,2.7050142597016835,-0.12296710269791744
Subject2,NK_cell,D0,0.0,10,0.14768069274723522,0.020677509199595063,0.053045929502695786,0.42528811395168287,0.06946684551876384,1.158589629994821e-05,0.06751590989708804,9.006400046018825e-06,0.4307282105088236,0.016353981002066566,0.20562526623408015,1.1978516116434212,2.517162101745606,-0.08094194595019016
Subject2,NK_cell,D10,10.0,3,0.15581466462511645,0.00014066356137239,0.23846793671449032,0.272814095020294,0.15184344847997044,0.0,0.18358062456051527,2.54088566483309e-06,0.3957609434922537,0.0003163790873562,1.1366418022579623,0.909467663894706,2.1253450012207034,-0.031766875584920196
Subject2,NK_cell,D14/15,14.5,28,0.11029738271556813,0.019153350399262435,0.2663356965141638,0.39917148303772715,0.39083227249128477,0.006124603551459778,0.031169432943901895,0.00560912082492848,0.5936689121382577,0.01037451090675033,0.8644091819581533,0.6729132443579573,1.7777480370657786,-0.1436011878223646
Subject2,NK_cell,D2,2.0,10,0.18996271886280752,0.02793414342813775,0.035175634437450726,0.4097296088933944,0.07347795041423524,0.0016342260366286599,0.07070809092547284,0.0008084259930853823,0.4291780516505243,0.0124573867113213,0.021045768936475175,1.1951327771556632,2.815434730529786,-0.08605904261271154
Subject2,NK_cell,D28,28.0,12,0.027177743467421533,0.0026854074726543145,0.075545351797094,0.4623332401468781,0.0741290664326092,0.01734435820121877,0.05225997228535568,0.010014288730114148,0.5143456434210142,0.005539829114866262,0.15518781794442074,0.856974328253545,2.014016269048055,-0.1351393310891257
Subject2,NK_cell,D4,4.0,8,0.14773813867941502,0.015672464114686584,0.010873533309677417,0.46224168688058875,0.01473167556267183,8.825661810263348e-06,0.02246216427033679,9.360511967315693e-06,0.4450841583311559,0.0004670556023711378,0.09336326420307142,1.0548127403064638,2.61334825515747,-0.10138965348402679
Subject2,NK_cell,D6,6.0,8,0.1782604225154498,0.014616177111747657,0.023049932130106723,0.40220071375370026,0.050976520659105566,0.005395103484545417,0.06397678128769257,0.00012778397008616523,0.4288978576660156,0.009275721078665818,-0.009210389455159673,1.0491751024917675,2.7001134204864514,-0.09460459460814799
Subject2,NK_cell,D8,8.0,3,0.06812960670841062,0.013877319871729294,0.019784152977081228,0.32546536624431593,0.21943755470764859,1.5158323852422965e-06,0.08679852634668343,0.0005117792170494667,0.56573752562205,0.012493833860692867,-0.11025690396626782,0.781884191798515,2.4375774383544937,-0.1036227019627889
Subject2,Neutrophil,D0,0.0,2,0.02109213604126125,0.0011578339390325657,1.80662664206466e-05,0.00057187431957565,0.03550280816853045,0.00019081576283494522,0.02375393453985455,0.0135074784047901,0.00033545107726240487,0.00095940145547495,-0.06290618896484375,-0.162703830368665,0.712036647796631,-0.0232882511615753
Subject2,Neutrophil,D10,10.0,13,0.01058692797461769,0.014322749401869173,0.0076405499962985636,0.015271769487681065,0.024723788204517823,0.004166692215781357,0.044718511914162755,0.015684808536696855,0.008289749106132534,0.00918673353323983,0.0008843746552101145,0.0026228106237093673,1.0244931719853325,-0.039780822044763825
Subject2,Neutrophil,D2,2.0,3,0.0009958802996455102,0.0103494522142379,0.003787306588928152,0.006817820947617233,0.05386630197366077,0.003220765305741221,0.029568302134672802,0.007319258564772666,0.0007299713027653231,0.0027156657306477,-0.065185045003891,-0.08431743642910787,0.4746260801951094,-0.01945754898919
Subject2,Neutrophil,D28,28.0,3,0.009423152965609877,0.005223664291406735,0.0096309188205244,0.0003020833901245667,0.035336218929539136,0.0001430492520739701,0.027430866534511236,0.004538849888679859,0.00028389809691966797,0.008589335221889368,0.158613656891717,-0.0830709999110422,0.12640568415323902,-0.0225325478447808
Subject2,Neutrophil,D4,4.0,5,0.0198586689890362,0.0017929888948856262,4.772937554661796e-05,0.00751227651198858,0.05490508303046228,0.0004630512967196139,0.045737811177968976,0.01501000830903646,0.008443086956685874,0.00048360851869799553,-0.04953441246350598,-0.05781826230944427,0.6719532737731927,-0.0332342144648234
Subject2,Neutrophil,D6,6.0,4,0.0003909392785316963,0.0018537589608058594,3.1376688497175564e-05,0.019142924664265575,0.05653961002826688,0.00017363046913485377,0.05217540729790925,0.005985779322145376,0.00027689581702358457,0.00042179200136158716,-0.061526167392730695,0.019287214443391675,0.2562104392051698,-0.026748791933059676
