subject,timepoint_merged,day_merged_numeric,n_cells,pattern,mean_pattern_score
Subject5,D28,28.0,200,Pattern8,0.026902873985470328
Subject5,D28,28.0,200,Pattern9,0.05904752957523416
Subject5,D28,28.0,200,Pattern10,0.12759598183090615
Subject5,D4,4.0,200,Pattern1,0.2287103438119692
Subject5,D4,4.0,200,Pattern2,0.05479814736392454
Subject5,D4,4.0,200,Pattern3,0.013096290036019228
Subject5,D4,4.0,200,Pattern4,0.16510171028680481
Subject5,D4,4.0,200,Pattern5,0.08101583668671024
Subject5,D4,4.0,200,Pattern6,0.039709278718067786
Subject5,D4,4.0,200,Pattern7,0.3376906766845485
Subject5,D4,4.0,200,Pattern8,0.031574004871492034
Subject5,D4,4.0,200,Pattern9,0.05780650797505383
Subject5,D4,4.0,200,Pattern10,0.11311152349008877
Subject5,D6,6.0,200,Pattern1,0.3173531686319224
Subject5,D6,6.0,200,Pattern2,0.04790649631219465
Subject5,D6,6.0,200,Pattern3,0.013277041257774395
Subject5,D6,6.0,200,Pattern4,0.26407568533188824
Subject5,D6,6.0,200,Pattern5,0.09441344598545581
Subject5,D6,6.0,200,Pattern6,0.051634887252416765
Subject5,D6,6.0,200,Pattern7,0.25678576260901975
Subject5,D6,6.0,200,Pattern8,0.025405481791490124
Subject5,D6,6.0,200,Pattern9,0.08936023021190628
Subject5,D6,6.0,200,Pattern10,0.08838022079121798
Subject5,D8,8.0,200,Pattern1,0.2783916010443973
Subject5,D8,8.0,200,Pattern2,0.051177910272544966
Subject5,D8,8.0,200,Pattern3,0.01905408642266583
Subject5,D8,8.0,200,Pattern4,0.24541699301555625
Subject5,D8,8.0,200,Pattern5,0.10535896558128584
Subject5,D8,8.0,200,Pattern6,0.07418543633028082
Subject5,D8,8.0,200,Pattern7,0.2625669075059949
Subject5,D8,8.0,200,Pattern8,0.03985684249103903
Subject5,D8,8.0,200,Pattern9,0.06294958094920443
Subject5,D8,8.0,200,Pattern10,0.10168103469441661
