,Pattern1,Pattern2,Pattern3,Pattern4,Pattern5,Pattern6,Pattern7,Pattern8,Pattern9,Pattern10
SLC2A5,9.729342855280265e-05,0.0003400661807972938,0.000188579797395505,0.00011753069702535868,0.00770195759832859,0.0001304135366808623,5.137911284691654e-05,0.0012147942325100303,7.070395804475993e-05,0.06551583856344223
GPR157,2.554560524004046e-05,0.07991963624954224,0.0,2.4155731807695702e-05,0.0837186947464943,0.00016857169975992292,8.521241397829726e-06,0.0015294764889404178,8.407794666709378e-05,0.021814024075865746
SPSB1,0.03235108405351639,0.3128127157688141,5.394839718064759e-06,0.00027219176990911365,0.07209237664937973,7.900191121734679e-06,0.031503718346357346,1.1774649237850099e-06,0.0,0.024467887356877327
PIK3CD-AS1,4.765424091601744e-05,4.755728514282964e-05,0.05220656841993332,6.420438239729265e-06,0.016328228637576103,4.073933087056503e-05,7.541348895756528e-05,0.0021306071430444717,0.0,0.00035544499405659735
RBP7,2.911741830757819e-06,0.40740421414375305,0.0,0.0,1.9821573005174287e-06,4.9040660087484866e-05,8.430098387179896e-05,0.7523382902145386,4.3259322410449386e-05,2.5159512006212026e-05
PGD,0.0644865408539772,0.371160626411438,0.0,0.2384013682603836,0.31015440821647644,0.13701245188713074,0.09035102277994156,0.95157790184021,0.0023333539720624685,0.04161375015974045
APITD1,0.00041488997521810234,8.46142866066657e-05,0.00033741083461791277,0.0003595793677959591,0.05243835225701332,8.739595796214417e-05,0.00020350835984572768,9.942792530637234e-05,5.2784071158384904e-05,0.00024013069923967123
SRM,0.11370924115180969,0.003241499187424779,0.16796241700649261,0.042725514620542526,0.4030779302120209,0.06858909875154495,0.06885320693254471,0.0480923131108284,0.0015223365044221282,0.07399780303239822
PTCHD2,0.000541689689271152,0.00020725801005028188,0.0001460904604755342,0.00031820288859307766,0.0006832386716268957,0.0002755059686023742,0.0002939149271696806,0.00030144985066726804,0.00014320392801892012,0.00033254359732382
FBXO2,8.378136044484563e-06,0.00018586855730973184,0.0003308822342660278,3.87377331207972e-05,0.022617384791374207,0.013541514985263348,0.0007328714709728956,0.0009120345348492265,0.034723784774541855,0.011313468217849731
MAD2L2,1.946319905243854e-08,0.06744670122861862,0.18614311516284943,0.0,0.37653374671936035,0.15263158082962036,0.000542482128366828,0.18979515135288239,0.2528287470340729,0.008304189890623093
AGTRAP,2.8178316568983064e-08,0.3666292726993561,0.23177701234817505,0.003929224796593189,0.1029723659157753,0.21787340939044952,0.022112064063549042,1.145025372505188,0.40590396523475647,4.920338597003138e-06
MTHFR,0.00022431329125538468,0.3087106943130493,0.07282429933547974,0.0021126088686287403,0.19816602766513824,0.04345381259918213,0.000969261396676302,0.2755969166755676,0.0002633152762427926,0.08298291265964508
TNFRSF8,0.0,0.14117398858070374,0.05705216899514198,0.0,0.05204720422625542,9.621574008633615e-07,0.0,0.1953466236591339,0.0,9.832763316808268e-05
TNFRSF1B,0.665518045425415,1.0649522542953491,0.20185358822345734,0.6939297318458557,0.2052352875471115,0.08130960166454315,0.06075269728899002,1.1531081199645996,0.4441237151622772,0.00468044588342309
TMEM51,5.40759310752037e-06,0.09243306517601013,0.07913931459188461,0.0,0.035615988075733185,0.0,0.0,0.11273712664842606,0.0,2.6274730771547183e-05
EFHD2,0.3020080029964447,0.8772081732749939,0.12128041684627533,0.45693203806877136,0.31918036937713623,0.0,0.00028312564245425165,0.683887779712677,0.8527457118034363,0.11259814351797104
CTRC,8.569550846004859e-05,0.055610064417123795,4.170795000391081e-05,0.00010154848860111088,0.00028474879218265414,0.00010995369666488841,0.00020035005582030863,0.0006722348043695092,5.9483219956746325e-05,0.00016175111522898078
CASP9,2.008635874517495e-06,0.13734163343906403,0.10694552212953568,0.03841149061918259,0.20866410434246063,7.356804871960776e-06,1.416251620867115e-06,0.0616750568151474,0.00041469288407824934,0.18264904618263245
EPHA2,6.432780537579674e-06,0.01728321611881256,0.0,0.0,0.07337015122175217,0.0,3.2685804853826994e-06,1.0980701517837588e-05,0.0,0.0022951876744627953
ATP13A2,0.03219659626483917,0.05954631417989731,1.2824283658119384e-05,0.0,0.2088548094034195,0.019793134182691574,0.0004208891768939793,0.11510736495256424,0.014144566841423512,0.019405873492360115
PADI2,6.763805140508339e-05,0.002698116470128298,0.0,6.6953114583157e-05,0.010315597988665104,0.00015204421652015299,3.694416955113411e-05,0.20918725430965424,9.300617966800928e-05,4.9986341764451936e-05
PADI4,3.459822295326376e-08,0.16073058545589447,0.0,0.00020390513236634433,0.050315648317337036,0.00010057634790427983,0.017136426642537117,0.2713819444179535,3.497416037134826e-05,2.990349275933113e-05
ARHGEF10L,1.5632124359399313e-06,0.20481860637664795,0.033641379326581955,0.0,0.043013881891965866,0.0,0.0,0.2972252070903778,0.0,1.8980097593157552e-05
RP1-43E13.2,5.956584573141299e-05,0.002535246079787612,0.0001285465550608933,0.0002615294652059674,0.0496567077934742,0.0002735460002440959,5.4362168157240376e-05,0.001024447730742395,0.00012414480443112552,0.00022801896557211876
