pattern,rank,gene,weight
Pattern9,6,MALAT1,3.9284236431121826
Pattern9,7,MT-CO1,3.845161199569702
Pattern9,8,TMSB4X,3.7440993785858154
Pattern9,9,HLA-B,3.717930316925049
Pattern9,10,EEF1A1,3.712759017944336
Pattern9,11,MT-ATP6,3.689777374267578
Pattern9,12,HLA-A,3.5014467239379883
Pattern9,13,MT-CO3,3.4882280826568604
Pattern9,14,ACTB,3.3292393684387207
Pattern9,15,PFN1,3.237328052520752
Pattern9,16,MT-ND4L,3.1556992530822754
Pattern9,17,TMSB10,3.15513277053833
Pattern9,18,MT-ND3,3.1299045085906982
Pattern9,19,RPS12,3.1262149810791016
Pattern9,20,SH3BGRL3,3.0751359462738037
Pattern9,21,GNLY,2.9704713821411133
Pattern9,22,IFITM1,2.84245228767395
Pattern9,23,MT-CYB,2.8274223804473877
Pattern9,24,CTSW,2.826084852218628
Pattern9,25,HCST,2.751967191696167
Pattern9,26,GZMA,2.7147562503814697
Pattern9,27,RPS8,2.6790671348571777
Pattern9,28,S100A4,2.59421706199646
Pattern9,29,MT-ND1,2.4843127727508545
Pattern9,30,PRF1,2.380359411239624
Pattern9,31,PPIA,2.207118034362793
Pattern9,32,MT-ND4,2.1940300464630127
Pattern9,33,IFITM2,2.1740214824676514
Pattern9,34,FTL,2.131479024887085
Pattern9,35,SRGN,2.1125905513763428
Pattern9,36,GZMB,2.094264268875122
Pattern9,37,MYL6,2.0876190662384033
Pattern9,38,PTMA,2.0867278575897217
Pattern9,39,H3F3A,2.039180278778076
Pattern9,40,RPLP0,2.029754877090454
Pattern9,41,RPS2,1.9687559604644775
Pattern9,42,CYBA,1.9596104621887207
Pattern9,43,GZMM,1.9133745431900024
Pattern9,44,GZMH,1.8558499813079834
Pattern9,45,H3F3B,1.7865512371063232
Pattern9,46,ITGB2,1.7459286451339722
Pattern9,47,MT-ND2,1.7424030303955078
Pattern9,48,GAPDH,1.7126600742340088
Pattern9,49,ACTG1,1.701712965965271
Pattern9,50,LSP1,1.6122477054595947
Pattern10,1,CD74,7.795566558837891
Pattern10,2,EEF1A1,5.329774379730225
Pattern10,3,MALAT1,5.294134616851807
Pattern10,4,HLA-DRA,5.071582317352295
Pattern10,5,MT-CO2,5.027048110961914
Pattern10,6,MT-CO1,4.800947666168213
Pattern10,7,HLA-DRB1,4.756564140319824
Pattern10,8,RPS8,4.756519317626953
Pattern10,9,RPS12,4.693237781524658
Pattern10,10,MT-ATP6,4.688132286071777
Pattern10,11,MT-CO3,4.5305867195129395
Pattern10,12,MT-ND3,4.370871543884277
Pattern10,13,MT-ND4L,4.2632222175598145
Pattern10,14,B2M,4.201163291931152
Pattern10,15,MT-CYB,4.149484157562256
Pattern10,16,HLA-DPB1,4.093412399291992
Pattern10,17,HLA-DPA1,4.067890644073486
Pattern10,18,HLA-B,3.7555699348449707
Pattern10,19,PTMA,3.6987619400024414
Pattern10,20,RPS2,3.5012001991271973
Pattern10,21,RPLP0,3.4401443004608154
Pattern10,22,MT-ND1,3.4318480491638184
Pattern10,23,TMSB10,3.3572206497192383
Pattern10,24,HLA-DRB5,3.3492324352264404
Pattern10,25,MT-ND4,3.344611883163452
Pattern10,26,FTH1,3.2413737773895264
Pattern10,27,CD37,3.210017442703247
Pattern10,28,AC090498.1,3.090416431427002
Pattern10,29,FTL,3.080359935760498
Pattern10,30,ACTB,3.0786385536193848
Pattern10,31,HLA-DQB1,2.9808013439178467
Pattern10,32,HLA-DQA1,2.963787794113159
Pattern10,33,TMSB4X,2.9315390586853027
Pattern10,34,MT-ND2,2.795809030532837
Pattern10,35,HLA-A,2.7858798503875732
Pattern10,36,H3F3A,2.7518796920776367
Pattern10,37,PPIA,2.6159799098968506
Pattern10,38,MTRNR2L12,2.54240083694458
Pattern10,39,TAGLN2,2.4419567584991455
Pattern10,40,CD79A,2.376771926879883
Pattern10,41,H3F3B,2.1797146797180176
Pattern10,42,CD52,1.9956636428833008
Pattern10,43,EZR,1.991161584854126
Pattern10,44,OAZ1,1.8799018859863281
Pattern10,45,PFN1,1.7669594287872314
Pattern10,46,UBC,1.6637814044952393
Pattern10,47,MS4A1,1.6135916709899902
Pattern10,48,ARPC3,1.535754680633545
Pattern10,49,HMGB1,1.5304884910583496
Pattern10,50,JUNB,1.4267234802246094
